Children,Age,Income,Email,Contacts,Yearly_equip_failure,Tenure,MonthlyCharge,Bandwidth_GB_Year,Techie_Yes,Contract_Month-to-month,Contract_One year,Contract_Two Year,InternetService_DSL,InternetService_Fiber Optic,InternetService_None,TechSupport_Yes
1.9834460302549917,-0.003787833659951896,1.4144053796048777,0.6586340850241245,1.0,-0.6402385836906196,0.7612907310062831,-0.0037823154734204236,0.7319643751423375,0,0,1,0,0,1,0,0
-0.01935203631826412,-0.9217577257401072,-0.0685299820451718,-1.9992920046616076,3.0,-0.6402385836906196,-0.7579318816822941,0.17053149315260288,-0.8531168384812909,0,0,0,1,0,1,0,0
-1.020751069604892,-1.2599571596643748,1.8261297333810207,0.6586340850241245,0.0,-0.6402385836906196,-1.2517864760158326,1.0446715089317231,-1.2063906020982198,1,1,0,0,0,1,0,0
-1.020751069604892,-0.2453588578915717,-0.2826216571308413,-0.3380881986080251,1.0,-0.6402385836906196,-1.1342482221823569,-0.06241399879220118,-1.237341664271396,0,0,1,0,0,1,0,0
0.9820469969683637,-0.2936730627378957,0.4839460225201995,-1.3348104822401745,0.0,-0.6402385836906196,1.2273428816397955,0.5789994303220106,1.2093687156159978,0,1,0,0,0,1,0,1
-0.520051552961578,0.8175536487275554,-0.8586603354438167,-2.331532765872324,0.0,0.9917741200835829,1.3658806608711878,-0.8766624615033464,1.1544481972737353,0,0,1,0,0,0,1,0
-1.020751069604892,0.8175536487275554,1.5385361691508785,0.6586340850241245,0.0,0.9917741200835829,1.0997294967621563,0.7530943336681376,1.0050498115040918,0,1,0,0,0,1,0,0
-1.020751069604892,-0.10041624335259981,1.5321710490398541,0.32639332381340797,2.0,-0.6402385836906196,-1.157037531429859,-0.993841992076267,-1.1276933314939888,0,1,0,0,1,0,0,1
1.4827465136116778,1.6388951311150628,-0.742711149303424,-0.005847437397308556,1.0,0.9917741200835829,1.1033340249967893,-0.29397386689085003,0.9930060179786594,0,1,0,0,0,1,0,0
0.9820469969683637,-1.1633287499717269,-1.2333954436214534,-1.002569721029458,2.0,0.9917741200835829,-1.0397726710976756,1.1070245820087516,-0.9217266389632023,0,0,1,0,0,0,1,0
-0.01935203631826412,-0.6801867015084874,-0.8010481788811707,-0.3380881986080251,0.0,-0.6402385836906196,0.7952707181381232,-1.0514676426193512,0.8822177052301474,0,0,1,0,1,0,0,0
-0.01935203631826412,-0.7285009063548112,-1.1749845192217792,0.6586340850241245,1.0,-0.6402385836906196,0.7014516291360857,-0.4696430252285757,0.8426509862314894,0,0,1,0,1,0,0,0
-1.020751069604892,-1.6464707984349665,-1.0580598432363613,-1.3348104822401745,2.0,0.9917741200835829,-0.7604759653497349,1.3976562727655486,-0.695570986371697,0,0,0,1,0,1,0,1
-0.520051552961578,1.7355235408077105,0.685572931373709,-1.002569721029458,1.0,-0.6402385836906196,1.36409787353533,0.6402672921178489,1.4487010659663515,1,0,1,0,1,0,0,1
0.9820469969683637,0.6242968293422596,-0.06759398096742063,-0.3380881986080251,0.0,-0.6402385836906196,0.8734471152042778,-0.23686054785390712,0.95227467570154,0,0,1,0,1,0,0,1
0.9820469969683637,0.09284057603269602,0.25988441114269245,-1.002569721029458,0.0,2.623786823857785,-1.1111722449669759,-0.7607660884753538,-1.1671249567495656,0,1,0,0,0,1,0,0
0.9820469969683637,0.3827258051106398,-0.3860184979908633,-0.3380881986080251,1.0,-0.6402385836906196,1.172167239811699,0.05580416747044269,1.1235714189056134,0,1,0,0,0,0,1,1
-0.01935203631826412,0.5759826244959356,0.9882336106971277,-1.002569721029458,0.0,0.9917741200835829,1.0948807236537483,-0.8183614648839842,1.1301808923065966,0,1,0,0,1,0,0,0
0.4813474803250498,-1.6464707984349665,-0.4641042119622187,-1.3348104822401745,1.0,-0.6402385836906196,-1.0619382316915864,-0.9935206204951417,-0.8846077262455375,0,1,0,0,1,0,0,0
-0.520051552961578,-0.4869298821231915,-0.007273129556545077,-0.005847437397308556,1.0,-0.6402385836906196,1.0256280962050957,-0.5277647058207883,0.9102388854088292,0,1,0,0,0,1,0,0
-0.01935203631826412,0.3344116002643158,0.20086395220658743,1.3231156074455575,3.0,-0.6402385836906196,-1.218636000354586,0.6999856072733608,-1.1487550410882605,0,0,0,1,0,0,1,1
-0.520051552961578,-0.3419872675842196,0.24012517034595107,-0.3380881986080251,1.0,0.9917741200835829,-1.2081086762701898,-0.877342348699792,-1.3945413231307655,0,0,0,1,0,1,0,0
